Frequency (Hz),Frequency (rad/sec),Gain (V/V),Gain (dB),Phase (Deg),Phase (Rad),Group Delay (uSec)
0.001,0.006,2,6.021,0,0,1064
10,62.832,2,6.02,-3.833,-0.067,1066.232
10.116,63.559,2,6.02,-3.878,-0.068,1066.283
10.233,64.295,2,6.02,-3.922,-0.068,1066.337
10.351,65.04,2,6.02,-3.968,-0.069,1066.391
10.471,65.793,2,6.02,-4.014,-0.07,1066.446
10.593,66.555,2,6.02,-4.061,-0.071,1066.503
10.715,67.326,2,6.02,-4.108,-0.072,1066.561
10.839,68.105,2,6.02,-4.155,-0.073,1066.621
10.965,68.894,2,6.02,-4.203,-0.073,1066.682
11.092,69.692,2,6.02,-4.252,-0.074,1066.744
11.22,70.498,2,6.02,-4.302,-0.075,1066.808
11.35,71.315,2,6.02,-4.351,-0.076,1066.873
11.482,72.141,2,6.02,-4.402,-0.077,1066.94
11.614,72.976,2,6.02,-4.453,-0.078,1067.008
11.749,73.821,2,6.02,-4.505,-0.079,1067.078
11.885,74.676,2,6.02,-4.557,-0.08,1067.149
12.023,75.541,2,6.02,-4.61,-0.08,1067.222
12.162,76.415,2,6.02,-4.663,-0.081,1067.297
12.303,77.3,2,6.02,-4.717,-0.082,1067.374
12.445,78.195,2,6.02,-4.772,-0.083,1067.452
12.589,79.101,2,6.02,-4.828,-0.084,1067.532
12.735,80.017,2,6.02,-4.884,-0.085,1067.614
12.882,80.943,2,6.02,-4.94,-0.086,1067.698
13.032,81.88,2,6.02,-4.998,-0.087,1067.784
13.183,82.829,2,6.02,-5.056,-0.088,1067.871
13.335,83.788,2,6.02,-5.114,-0.089,1067.961
13.49,84.758,2,6.02,-5.174,-0.09,1068.053
13.646,85.739,2,6.02,-5.234,-0.091,1068.147
13.804,86.732,2,6.02,-5.294,-0.092,1068.243
13.964,87.736,2,6.02,-5.356,-0.093,1068.341
14.125,88.752,2,6.02,-5.418,-0.095,1068.442
14.289,89.78,2,6.02,-5.481,-0.096,1068.545
14.454,90.82,2,6.02,-5.545,-0.097,1068.65
14.622,91.871,2,6.02,-5.609,-0.098,1068.758
14.791,92.935,2,6.02,-5.674,-0.099,1068.868
14.962,94.011,2,6.02,-5.74,-0.1,1068.981
15.136,95.1,2,6.02,-5.807,-0.101,1069.097
15.311,96.201,2,6.02,-5.874,-0.103,1069.215
15.488,97.315,2,6.02,-5.943,-0.104,1069.335
15.668,98.442,2,6.02,-6.012,-0.105,1069.459
15.849,99.582,2,6.02,-6.081,-0.106,1069.585
16.032,100.735,2,6.019,-6.152,-0.107,1069.715
16.218,101.901,2,6.019,-6.224,-0.109,1069.847
16.406,103.081,2,6.019,-6.296,-0.11,1069.982
16.596,104.275,2,6.019,-6.369,-0.111,1070.121
16.788,105.482,2,6.019,-6.443,-0.112,1070.262
16.982,106.704,2,6.019,-6.518,-0.114,1070.407
17.179,107.939,2,6.019,-6.594,-0.115,1070.555
17.378,109.189,2,6.019,-6.67,-0.116,1070.707
17.579,110.454,2,6.019,-6.748,-0.118,1070.862
